symbol,SL32230,SL32246,SL6130,SL6669,SL7393,SL7403,SL7404,SL7625,SL7632
ABT1,245,320,401,277,513,380,483,511,448
ABTB1,4591,5537,5502,5591,7213,3921,7877,8207,6881
ABTB2,425,547,975,337,868,626,513,627,485
ACAA1,920,976,1406,1067,1703,975,1339,1390,1212
ACAA2,265,256,484,170,853,452,563,570,409
ACACB,326,736,743,650,2438,628,799,1090,986
ACAD10,483,428,742,677,980,510,735,768,689
ACAD11,6,5,10,7,3,3,2,2,5
ACAD8,1386,1402,2354,1621,2157,1465,1505,2083,1941
ACAD9,780,1012,1495,1121,1659,1073,1469,1793,1521
ACADL,51,40,64,40,106,29,43,55,49
ACADM,736,791,1531,1218,1868,1130,1445,1499,1398
ACADS,448,333,331,187,757,269,511,442,353
ACADSB,946,1052,2483,1412,1717,1300,905,1841,1607
ACADVL,4888,5490,6480,6542,12837,5500,8739,7780,7084
ACAN,76,139,332,182,275,268,126,301,238
ACAP1,142,200,337,217,467,139,410,261,223
ACAP2,695,651,2001,1130,1731,1016,1034,1567,1432
ACAP3,19175,23016,18855,12905,30682,13777,25924,27994,20696
ACAT1,673,932,1566,1125,1647,1054,1426,1663,1444
ACAT2,773,914,1633,995,1085,1185,1039,946,1013
ACBD3,971,910,2034,1100,1564,1286,1234,1943,1643
ACBD3-AS1,3,1,7,6,7,2,5,3,6
ACBD4,726,699,778,624,1187,546,993,1095,814
ACBD5,1414,1678,4437,2347,3255,2101,2073,3316,2739
ACBD6,144,95,54,97,154,43,92,139,122
ACBD7,295,360,382,254,1117,618,500,771,695
ACCS,76,181,209,214,440,104,256,368,199
ACCSL,1,1,5,1,3,1,4,1,0
ACD,1126,1297,1305,1280,1923,1114,1563,1934,1479
ACE,180,288,277,217,356,173,139,390,291
ACE2,1,1,12,0,6,3,14,10,5
ACE3P,0,0,0,0,0,0,0,0,0
ACER1,2,5,7,1,2,2,6,5,2
ACER2,211,97,383,83,199,83,28,145,172
ACER3,1404,1652,4117,2557,2636,1706,2837,3182,2599
ACHE,3274,4098,3276,2747,3491,2374,3931,4426,3753
ACIN1,4141,3259,4954,3238,6787,3620,4150,5552,4955
ACKR1,1150,813,1495,768,692,1050,797,1297,1232
ACKR2,23,29,52,16,43,11,32,53,19
ACKR3,127,218,319,108,501,272,171,478,191
ACKR4,2,6,5,8,10,2,3,1,8
ACLY,4676,5641,10942,3954,5969,5872,3523,8245,7165
ACMSD,13,10,15,41,49,6,27,41,28
ACNATP,0,0,2,1,2,1,1,2,0
ACO1,862,629,1415,959,1707,885,816,1684,1131
ACO2,7496,9925,12566,6636,11106,9157,5037,13007,10031
ACOD1,0,0,5,0,1,0,1,0,2
ACOT1,71,68,47,60,47,99,127,157,80
ACOT11,318,370,396,474,1394,248,674,638,654
ACOT12,3,1,1,0,4,2,2,2,5
ACOT13,378,385,649,487,685,497,366,633,594
ACOT2,196,258,268,155,317,254,288,369,294
ACOT4,233,125,298,247,272,178,193,264,262
ACOT6,34,17,11,51,40,10,29,36,43
ACOT7,6769,7188,8921,5871,7954,6639,9493,10304,8917
ACOT8,831,1034,1284,1097,1288,864,1377,1590,1276
ACOT9,621,654,1168,859,1075,762,821,1030,1010
ACOX1,1271,1257,2943,1415,2707,2244,1463,2345,2094
ACOX2,76,64,78,62,265,73,78,120,103
ACOX3,400,501,902,264,646,495,347,708,540
ACOXL,9,3,22,6,25,9,16,11,20
ACOXL-AS1,15,5,20,20,18,17,10,16,20
ACP1,1628,1894,2937,2183,2103,1846,2516,2702,2440
ACP2,1107,1795,2949,1766,2547,2127,2207,3403,2853
ACP3,3,2,37,2,5,6,20,23,17
ACP4,42,21,19,10,39,12,13,28,36
ACP5,14,18,33,23,68,15,45,27,21
ACP6,240,161,361,355,686,224,242,302,246
ACP7,22,126,216,23,83,68,83,37,78
ACR,23,19,22,11,39,27,30,27,24
ACRBP,33,16,33,12,43,14,27,26,22
ACRP1,0,0,1,0,0,0,2,0,0
ACRV1,60,36,90,72,68,83,75,88,77
ACSBG1,705,721,1274,281,3009,1543,562,1121,904
ACSBG2,6,11,29,13,32,10,20,27,16
ACSF2,123,202,276,261,630,404,256,551,221
ACSF3,734,1019,1061,684,1391,592,865,1200,938
ACSL1,672,1019,2935,1121,1507,1169,1432,1926,1260
ACSL3,5224,5197,13675,8322,9585,7385,8153,11301,9673
ACSL4,2662,2627,7031,3793,3412,3549,2661,5080,4059
ACSL5,672,359,1216,287,311,491,182,385,405
ACSL6,3322,4947,9730,6394,9169,5744,4154,7592,7001
ACSM1,10,5,11,2,12,5,5,7,7
ACSM2A,0,0,10,0,1,0,8,0,0
ACSM2B,0,0,11,1,5,0,2,0,0
ACSM3,2,4,14,9,16,3,10,11,8
ACSM4,11,10,15,18,21,12,10,12,21
ACSM5,37,35,43,32,101,27,76,64,33
ACSM6,10,6,12,9,4,2,5,8,11
ACSS1,965,1404,1878,765,6561,1723,2661,2791,1931
ACSS2,1146,1326,2398,1719,2318,1540,2065,2357,1830
ACSS3,180,180,474,133,702,429,202,370,307
ACTA1,53,66,57,18,49,39,48,77,51
ACTA2,283,1092,625,514,1048,979,490,2412,888
ACTA2-AS1,34,49,131,93,63,51,21,128,94
ACTB,44277,57014,97982,50916,78554,71163,82286,90588,75722
ACTBL2,0,0,0,0,0,0,2,0,0
ACTBP1,0,1,6,0,0,1,3,1,2
ACTBP12,57,0,7,0,1,1,2,0,4
ACTBP14,1,5,5,0,5,1,8,2,9
ACTC1,97,95,163,128,173,137,125,190,187
ACTE1P,0,3,7,0,1,0,5,1,0
ACTG1,26209,35941,50212,27167,41970,37314,46987,53564,41954
ACTG1P10,31,36,62,46,62,29,38,79,69
ACTG1P12,15,10,12,21,19,7,11,20,28
ACTG1P14,24,5,10,2,9,2,8,14,9
ACTG1P15,5,2,3,3,10,3,9,4,7
ACTG1P16,5,4,4,0,0,1,1,0,1
ACTG1P17,12,9,16,21,42,19,25,20,22
ACTG1P19,1,3,4,0,2,0,2,1,0
ACTG1P21,1,0,3,0,1,2,3,0,0
ACTG1P23,1,0,5,1,0,1,0,6,3
ACTG1P24,1,0,2,0,1,0,4,3,0
ACTG1P25,23,10,14,12,22,8,10,15,17
ACTG2,38,88,168,56,103,310,56,287,73
ACTL10,34,32,30,11,31,18,18,34,25
ACTL11P,3,0,2,4,4,0,2,2,2
ACTL6A,127,149,294,129,262,146,173,402,179
ACTL6B,3080,3392,3720,2613,3866,2946,3524,5175,4287
ACTL7A,0,0,1,1,0,0,0,0,0
ACTL7B,0,0,0,0,0,0,0,1,2
ACTL8,2,10,13,12,4,5,8,388,17
ACTL9,0,0,1,0,0,0,0,0,0
ACTN1,8186,6932,11744,5978,9565,8767,4999,11923,8735
ACTN1-AS1,2,3,4,2,5,0,1,4,2
ACTN2,2320,2323,4116,2529,3363,2414,2951,3979,3228
ACTN3,12,10,15,18,29,6,12,11,13
ACTN4,12715,13522,18685,9547,18754,11849,10861,22979,17033
ACTN4P1,2,2,4,0,2,2,3,1,1
ACTP1,1,0,3,1,4,1,1,0,1
ACTR10,1288,1444,3340,2209,2450,2157,2669,2756,2629
ACTR1A,6206,6553,9826,8238,9127,7929,10414,10412,8667
ACTR1AP1,1,0,4,3,0,3,3,1,1
ACTR1B,6585,6609,10202,7198,9145,7322,9076,9824,8849
ACTR2,7705,8093,19284,9038,14155,11696,8279,16266,15045
ACTR3,2195,2720,6129,3460,4695,3804,4143,5253,4770
ACTR3B,1969,1799,3344,1711,2197,2020,2179,3173,2590
ACTR3C,42,55,101,89,76,43,54,104,81
ACTR3P2,0,0,2,0,2,1,2,0,0
ACTR5,249,208,380,225,372,227,227,404,293
ACTR6,565,700,1245,950,1099,779,1183,1267,1074
ACTR6P1,0,0,3,0,0,0,1,1,0
ACTR8,431,666,1356,808,1101,911,658,1003,805
ACTRT1,0,0,1,1,2,0,1,1,4
ACTRT2,0,0,0,0,0,0,0,0,0
ACTRT3,94,48,75,42,47,65,64,93,67
ACVR1,430,643,936,634,1049,680,712,1022,931
ACVR1B,5870,4431,8491,4192,5422,5926,3901,6610,6347
ACVR1C,397,502,1469,831,927,739,622,1333,1379
ACVR2A,496,438,999,634,700,576,508,919,749
ACVR2B,640,581,1455,680,1105,688,580,1063,1041
ACVR2B-AS1,38,28,69,44,58,40,40,51,57
ACVRL1,503,626,1209,365,1084,1253,746,921,900
ACY1,45,18,26,45,78,33,68,44,43
ACY3,3,67,91,51,104,5,227,416,90
ACYP1,178,204,276,353,446,163,369,351,255
ACYP2,622,881,1118,905,1249,909,1666,1092,1125
ADA,228,166,245,76,263,191,282,159,116
ADA2,103,416,1019,276,822,400,465,771,489
ADAD1,0,0,9,1,1,0,5,0,0
ADAD1P2,0,1,1,1,0,1,0,1,0
ADAD2,39,59,29,14,22,30,32,82,42
ADAL,314,241,632,599,703,398,602,569,613
ADAM10,1303,1373,3693,1508,2543,1996,1348,2735,2124
ADAM11,8760,10445,12429,9413,12560,9252,8928,14199,11855
ADAM12,60,58,117,64,133,79,63,145,90
ADAM15,1767,2519,3526,2382,3834,3026,4600,3777,2597
ADAM17,365,413,838,403,681,434,256,860,543
ADAM18,1,0,8,0,1,0,6,0,0
ADAM19,469,641,1164,690,812,676,446,1173,755
ADAM1B,47,26,79,65,56,29,17,63,54
ADAM2,1,2,14,1,3,0,10,0,0
ADAM20,11,7,20,28,21,10,12,35,42
ADAM20P1,11,8,19,11,18,8,5,15,18
ADAM20P3,0,0,5,0,0,0,1,0,0
ADAM21,22,39,65,55,44,23,26,56,32
ADAM21P1,0,2,8,2,1,1,1,7,9
ADAM22,4094,4601,12852,7620,6769,6260,3329,9406,8704
ADAM23,4986,5183,13251,10056,7911,8088,5014,10110,10161
ADAM24P,0,0,0,0,0,0,2,0,0
ADAM28,26,86,472,105,141,38,131,254,103
ADAM29,18,12,35,28,28,8,26,30,25
ADAM30,0,0,4,0,1,1,0,0,0
ADAM32,106,70,111,122,123,57,67,102,120
ADAM33,325,794,341,395,965,320,562,826,699
ADAM3A,1,0,6,0,1,0,0,0,0
ADAM3B,0,1,0,1,1,2,1,0,2
ADAM5,12,5,8,4,2,3,10,5,4
ADAM7,9,1,11,3,6,4,8,4,5
ADAM8,371,216,128,132,365,96,201,210,252
ADAM9,816,1144,3674,1364,2042,1745,1191,3287,2138
ADAMDEC1,3,0,8,3,4,2,5,4,2
ADAMTS1,1527,1485,5926,438,1667,3972,937,3834,852
ADAMTS10,2087,2650,1995,1690,3842,1413,2448,3319,2617
ADAMTS12,8,6,25,6,12,8,18,18,9
ADAMTS13,1584,1488,1384,982,2459,838,1463,2017,1681
ADAMTS14,66,175,241,140,623,101,223,91,103
ADAMTS15,122,83,126,35,142,70,70,168,82
ADAMTS16,102,150,179,149,114,133,125,174,149
ADAMTS17,92,119,161,148,317,100,111,200,201
ADAMTS18,3,7,18,28,8,36,167,9,14
ADAMTS19,68,60,128,104,124,70,95,116,122
ADAMTS19-AS1,8,13,17,7,13,9,3,15,15
ADAMTS2,617,588,459,310,456,453,248,374,398
ADAMTS20,1,10,26,4,3,1,11,4,8
ADAMTS3,225,169,412,241,327,228,168,436,316
ADAMTS4,624,884,6483,475,1323,2963,2579,877,706
ADAMTS5,52,69,178,112,120,71,132,175,151
ADAMTS6,23,29,64,63,63,41,43,60,48
ADAMTS7,66,96,147,67,274,141,202,169,95
ADAMTS7P3,1,2,3,4,5,1,1,4,3
ADAMTS7P4,14,11,14,12,23,12,25,9,14
ADAMTS8,1066,1225,1642,857,1399,878,1340,1978,1446
ADAMTS9,1729,90,3291,151,299,3874,146,197,183
ADAMTS9-AS1,22,6,45,13,16,30,4,21,11
ADAMTS9-AS2,89,57,138,152,127,89,49,155,174
ADAMTSL1,108,121,428,183,171,205,99,282,184
ADAMTSL2,480,740,727,310,570,420,503,801,597
ADAMTSL3,96,138,303,152,192,106,121,173,144
ADAMTSL4,166,113,202,88,175,184,76,139,119
ADAMTSL4-AS1,3,3,4,3,8,5,2,3,4
ADAMTSL5,77,75,79,63,165,66,85,84,65
ADAP1,2557,2421,1981,1428,3065,1779,4000,3213,2491
ADAP2,85,166,351,159,324,128,381,542,256
ADAR,9610,10311,22831,12140,15210,14193,9705,20057,18581
ADARB1,3806,3531,6791,4334,5815,4512,3989,7981,6288
ADARB2,182,678,1219,307,871,374,604,741,703
ADARB2-AS1,17,52,22,33,106,23,38,99,70
ADAT1,620,764,1589,1086,1119,767,998,1421,1547
ADAT2,93,123,219,194,254,116,134,246,177
ADAT3,123,96,55,45,111,58,130,104,73
ADCK1,405,435,830,443,814,595,636,931,812
ADCK2,1023,990,1184,573,854,884,1034,1540,944
ADCK5,494,575,464,463,811,356,816,835,611
ADCY1,29004,27512,55050,34865,36146,34524,22335,55758,42268
ADCY10,155,13,38,27,46,13,19,24,28
ADCY10P1,259,173,293,207,430,136,264,304,313
ADCY2,6921,6452,14464,7037,9850,8235,5972,11851,9852
ADCY3,2563,2982,4269,1523,2325,2441,1264,3953,2456
ADCY4,150,318,438,371,690,353,296,437,538
ADCY5,8298,9920,11598,4960,9535,7085,5894,11972,9538
ADCY6,2136,2481,3246,2039,3782,2119,2016,3826,2947
ADCY6-DT,5,7,3,7,13,4,8,12,9
ADCY7,510,480,901,242,311,328,235,788,314
ADCY8,539,464,1100,328,871,569,413,814,757
ADCY9,2765,2614,3529,1872,3237,2337,1104,4062,3510
ADCYAP1,306,532,723,499,880,1082,1129,1539,1338
ADCYAP1R1,3426,3963,8392,3652,9391,6550,4109,7377,6745
ADD1,13074,15006,30838,14241,25056,20505,18130,28622,24101
ADD2,11872,11153,25716,14846,15994,15815,11722,22630,19363
ADD3,1837,2574,6041,3250,9941,4157,5161,6255,5009
ADD3-AS1,25,27,38,25,61,20,77,37,47
ADGB,4,2,15,2,6,3,10,7,3
ADGRA1,4829,6046,6540,5166,8853,5480,3976,8508,7228
ADGRA2,1350,2734,1484,828,2811,696,705,3002,2156
ADGRA3,396,498,1130,314,1906,742,446,983,645
ADGRB1,15275,18432,15499,6500,22737,12238,10863,24283,16608
ADGRB2,35838,38903,42410,22369,41509,34414,28249,54214,37663
ADGRB3,2954,2411,7684,3660,4315,4278,2455,4994,4526
ADGRD1,406,312,645,202,251,394,156,309,258
ADGRD2,5,3,6,1,7,0,0,1,0
ADGRE1,2,1,37,0,4,2,8,1,0
ADGRE2,25,23,407,43,100,141,58,32,40
ADGRE3,0,1,17,0,6,1,9,2,2
ADGRE4P,0,24,7,1,9,0,6,2,2
ADGRE5,86,270,539,135,401,271,309,417,245
ADGRF1,2,0,13,0,3,0,10,20,0
ADGRF2,0,1,6,6,7,3,5,5,6
ADGRF3,39,43,75,27,47,39,20,57,43
ADGRF4,5,4,4,2,7,1,5,2,4
ADGRF5,1357,1281,2533,1188,2442,1062,1061,2410,2768
ADGRF5P1,32,25,65,81,110,23,10,36,17
ADGRG1,4663,3532,11029,1892,10536,8373,3026,5984,3950
ADGRG2,23,25,39,39,36,26,28,345,42
ADGRG3,2,6,44,3,16,16,4,16,4
ADGRG4,1,0,7,2,2,2,7,1,0
ADGRG5,2,14,47,11,17,9,12,23,11
ADGRG6,49,95,149,64,111,25,50,512,133
ADGRG7,1,0,5,0,1,1,0,1,0
ADGRL1,23359,24079,30210,15213,25124,19812,21626,38088,25900
ADGRL2,3606,1932,5167,3216,3336,3036,1061,3454,3573
ADGRL3,2821,3110,8203,3671,5446,4218,1942,5624,5230
ADGRL4,290,178,544,224,511,315,275,335,403
ADGRV1,528,708,1151,505,4223,1256,969,1554,1379
ADH1A,0,0,1,1,1,0,3,0,0
ADH1B,50,24,30,27,24,51,35,11,29
ADH1C,1,0,2,0,3,1,2,4,0
ADH4,1,0,0,1,2,1,5,0,0
ADH5,1324,1282,2867,1786,2614,2028,1760,2633,2406
ADH5P2,0,1,4,0,0,0,1,0,2
ADH5P3,6,7,10,12,10,3,7,10,13
ADH5P5,0,0,0,1,0,0,0,2,0
ADH6,1,0,6,0,4,1,6,0,1
ADH7,0,0,5,0,0,0,3,0,0
ADHFE1,158,190,421,207,859,408,441,315,368
ADI1,528,577,815,583,1127,626,1042,1013,868
ADI1P3,0,0,0,0,0,0,0,0,0
ADIG,0,0,2,1,1,0,1,0,0
ADIPOQ,2,0,7,1,1,1,5,1,0
ADIPOQ-AS1,0,0,1,0,0,0,1,0,1
ADIPOR1,2189,2031,3782,1836,2858,2475,2094,3415,2723
ADIPOR2,1942,2007,6467,2414,3548,2739,3156,2978,2829
ADIRF,0,0,0,0,0,0,0,0,0
ADIRF-AS1,79,56,113,50,101,37,62,104,78
ADK,587,504,1049,706,899,673,707,842,853
ADM,178,88,728,53,157,207,99,96,81
ADM2,6,9,20,1,10,1,7,70,5
ADM5,48,30,25,13,47,15,31,48,27
ADNP,2420,1927,5652,2500,3795,3099,1955,4433,3729
ADNP-AS1,34,20,43,41,72,24,45,49,45
ADNP2,793,690,1640,785,1011,929,614,1212,1158
ADO,1191,1397,2166,1347,1859,1504,1807,2145,2051
ADORA1,3521,4969,6796,4000,5942,4011,8216,8138,5797
ADORA2A,101,21,18,11,22,6,15,22,27
ADORA2A-AS1,79,19,36,19,41,25,14,34,28
ADORA2B,148,86,180,49,303,195,106,247,152
ADPGK,573,567,955,777,974,604,606,1164,935
ADPGK-AS1,16,21,23,14,31,15,21,26,12
ADPRH,37,66,190,70,106,71,55,120,102
ADPRHL1,498,394,441,409,474,359,456,504,504
ADPRM,95,63,199,120,137,112,134,141,154
ADPRS,828,805,1181,668,1273,955,1439,1262,1039
ADRA1A,134,247,369,144,317,206,95,270,298
ADRA1B,595,1330,882,647,1054,911,1198,1526,1154
ADRA1D,653,1051,1144,507,890,632,578,1105,1198
ADRA2A,689,739,982,378,726,659,468,1004,588
ADRA2C,645,886,373,126,473,233,520,700,435
ADRB1,1185,974,1055,498,1233,965,913,1316,1183
ADRB2,56,55,77,18,106,54,50,77,59
ADRB3,2,7,19,5,20,4,8,9,17
ADRM1,799,1004,787,404,882,636,1019,1096,774
ADSL,607,749,998,650,789,674,840,1009,865
ADSS1,150,247,371,145,351,165,326,224,227
ADSS2,1070,1177,2335,1355,1467,1340,1562,2010,1771
ADTRP,91,108,209,151,178,65,146,200,167
AEBP1,2270,1872,2532,467,3486,2975,849,3412,1072
AEBP2,731,779,1510,1101,1545,1084,1104,1739,1480
AEN,451,258,559,297,399,431,271,530,467
AFAP1,1044,1353,2688,910,2345,1593,928,2535,2309
AFAP1-AS1,58,69,114,48,108,48,52,70,54
AFAP1L1,211,156,428,185,323,229,206,251,317
AFAP1L2,1332,1417,2469,1365,2300,1447,1124,2138,2239
AFDN,2523,2784,5954,3679,5172,3300,4223,6216,4573
AFF1,920,690,1957,912,1511,948,553,1434,1206
AFF2,1127,1089,2217,996,1095,1092,502,1522,1329
AFF3,3066,3332,6249,3942,4166,4780,2339,6186,5006
AFF4,3773,2911,9248,3921,5644,4691,2438,5581,5239
AFG1L,134,159,409,252,325,182,198,368,294
AFG3L1P,334,372,492,766,1068,410,646,739,710
AFG3L2,969,1289,2498,1368,1955,1824,1977,2495,2095
AFG3L2P1,0,0,0,0,0,1,1,2,1
AFM,1,1,5,0,3,0,5,0,0
AFMID,484,480,720,598,856,303,901,501,450
AFP,5,2,8,4,9,5,3,6,8
AFTPH,2905,2375,5515,3865,4114,3304,3337,5253,4991
AGA,94,128,331,121,369,122,356,249,221
AGAP1,10737,12918,22698,10892,17079,11977,10279,20335,18013
AGAP1-IT1,9,11,2,6,15,1,8,15,8
AGAP11,2,2,1,1,3,1,0,1,3
AGAP2,25492,27054,26182,11081,22952,18880,12873,31436,22355
AGAP2-AS1,6,12,7,8,23,3,6,5,8
AGAP3,26964,25138,20051,11766,24341,17645,26322,31760,23198
AGAP4,104,33,2,4,92,57,36,16,102
AGAP5,16,4,4,11,17,4,10,12,9
AGAP6,265,287,236,345,535,229,199,438,399
AGAP9,1,3,5,3,2,2,2,1,2
AGBL1-AS1,1,1,2,1,4,0,2,3,3
AGBL2,5,5,27,4,15,2,22,8,6
AGBL3,51,86,163,106,207,75,113,153,175
AGBL4,509,555,1053,664,776,703,498,1021,984
AGBL4-AS1,4,2,3,5,1,1,0,2,11
AGBL4-IT1,2,5,5,17,10,6,0,8,7
AGBL5,848,928,1368,1250,1504,973,978,1769,1543
AGBL5-AS1,5,1,6,2,9,5,5,9,7
AGER,125,51,77,63,154,49,127,188,80
AGFG1,1983,2187,5018,2639,3139,2863,1892,3890,3562
AGFG2,1687,1394,2109,1163,2156,1965,1428,2206,1795
AGGF1,1420,1473,3940,2785,3254,2175,3283,3667,3426
