symbol,SL31505,SL31508,SL32268,SL6670,SL7380
C12orf57,166,92,286,165,226
C12orf60,41,42,56,80,88
C12orf65,467,388,618,766,824
C12orf66,238,316,245,335,592
C12orf71,2,7,7,2,5
C12orf73,177,162,271,316,501
C12orf75,428,197,202,171,439
C12orf76,1204,589,1373,1556,2062
C12orf77,0,0,0,0,0
C13orf42,0,3,2,8,4
C14orf119,375,267,328,715,877
C14orf132,7607,6564,9016,9531,16950
C14orf177,0,0,1,0,1
C14orf178,0,1,0,5,1
C14orf180,22,64,36,98,87
C14orf28,110,89,113,152,204
C14orf39,2,0,4,2,0
C14orf93,93,95,183,152,168
C15orf32,0,0,1,0,1
C15orf39,478,562,573,583,1250
C15orf40,147,164,238,316,472
C15orf48,0,2,0,2,2
C15orf54,0,0,1,1,2
C15orf56,13,21,27,22,21
C15orf61,176,250,188,495,588
C15orf62,121,114,121,258,221
C15orf65,24,24,25,29,53
C16orf46,139,137,138,139,226
C16orf54,2,3,9,3,9
C16orf70,620,627,605,1072,1759
C16orf71,60,114,157,211,150
C16orf72,877,1019,909,1588,2757
C16orf74,87,85,114,151,140
C16orf78,0,0,0,0,0
C16orf82,1,0,0,3,4
C16orf86,199,218,267,331,349
C16orf87,248,448,419,606,1087
C16orf89,470,390,868,999,976
C16orf90,10,10,10,11,31
C16orf91,135,133,189,310,258
C16orf92,11,11,10,9,24
C16orf95,22,21,18,35,39
C16orf96,56,61,103,118,146
C17orf100,0,0,0,0,0
C17orf102,58,22,40,19,126
C17orf107,59,165,154,115,245
C17orf113,62,78,83,141,102
C17orf49,17,15,25,26,21
C17orf58,156,176,293,289,431
C17orf64,1,0,0,0,1
C17orf67,48,61,107,128,153
C17orf75,355,291,313,414,691
C17orf77,1,0,0,0,1
C17orf80,360,317,401,603,960
C17orf97,131,174,165,253,247
C17orf99,1,0,4,3,1
C18orf21,94,86,136,150,207
C18orf25,647,651,627,1107,1779
C18orf32,10,3,20,12,13
C18orf54,82,61,86,131,158
C18orf63,0,0,0,0,0
C19orf12,1416,2032,1623,2734,3540
C19orf18,31,28,62,35,35
C19orf25,1174,824,2102,1793,1628
C19orf33,1,0,3,4,2
C19orf38,29,10,23,24,25
C19orf44,174,170,240,276,329
C19orf47,1095,707,1591,1003,1089
C19orf48,264,182,485,400,396
C19orf53,716,456,1259,852,989
C19orf54,356,195,411,433,484
C19orf67,3,7,6,11,6
C19orf71,365,417,568,579,427
C19orf73,31,27,54,47,42
C19orf81,51,25,111,31,51
C19orf84,1,1,7,0,4
C1D,191,232,313,546,567
C1DP5,0,0,0,0,2
C1GALT1,550,426,836,1157,1482
C1GALT1C1,146,87,146,276,375
C1GALT1C1L,10,7,10,33,20
C1GALT1P3,0,0,0,0,0
C1orf100,5,3,5,10,5
C1orf105,1,1,1,5,3
C1orf109,269,330,299,505,740
C1orf112,63,42,52,68,84
C1orf115,1961,3955,3321,5791,7480
C1orf116,3,8,10,16,17
C1orf122,1251,694,2263,1529,1584
C1orf127,27,20,11,42,40
C1orf131,138,125,178,286,315
C1orf141,4,28,56,14,21
C1orf146,11,6,7,17,24
C1orf158,4,87,133,20,88
C1orf159,546,745,1662,1883,1060
C1orf162,126,42,92,95,94
C1orf167,2,0,2,5,4
C1orf167-AS1,0,0,0,0,0
C1orf174,222,179,314,346,450
C1orf185,0,0,1,0,0
C1orf189,1,7,4,3,1
C1orf194,21,68,107,67,91
C1orf198,4168,2099,5783,4054,5816
C1orf21,1758,1750,2744,2491,4857
C1orf210,3,0,3,3,2
C1orf216,2654,3647,2920,6438,9459
C1orf220,8,8,7,12,11
C1orf226,126,72,175,121,279
C1orf229,23,13,46,16,24
C1orf35,547,449,1015,1082,714
C1orf43,4908,4036,3949,6861,10104
C1orf50,162,193,218,292,478
C1orf52,478,567,629,1172,1785
C1orf53,10,2,20,13,29
C1orf54,98,72,95,186,168
C1orf56,151,158,228,278,355
C1orf68,0,0,0,0,0
C1orf74,42,59,54,83,127
C1orf87,16,101,177,103,254
C1orf94,20,14,39,29,62
C1QA,127,123,229,273,420
C1QB,175,174,373,277,462
C1QBP,763,676,998,978,1293
C1QC,201,210,678,378,539
C1QL1,839,670,2969,712,1365
C1QL1P1,0,0,0,0,0
C1QL2,276,440,1192,619,846
C1QL3,71,82,893,10,311
C1QL4,12,15,106,5,42
C1QTNF1,956,536,540,724,387
C1QTNF12,29,37,79,37,28
C1QTNF2,59,86,76,71,231
C1QTNF3,111,110,163,208,267
C1QTNF3-AMACR,0,2,0,3,7
C1QTNF4,3639,4744,4478,4098,6093
C1QTNF5,0,0,0,0,0
C1QTNF6,205,74,282,265,250
C1QTNF7,34,33,28,53,69
C1QTNF7-AS1,17,11,4,15,15
C1QTNF8,9,52,75,49,22
C1QTNF9,8,10,8,24,14
C1QTNF9B,5,5,2,1,6
C1R,237,198,506,424,374
C1RL,231,289,323,476,398
C1RL-AS1,30,69,45,74,56
C1S,493,325,588,820,810
C2,18,29,31,49,49
C2-AS1,0,0,1,0,0
C20orf141,0,0,0,0,0
C20orf144,23,14,17,24,22
C20orf173,0,0,0,0,1
C20orf194,2926,2960,3260,4762,7964
C20orf197,4,11,6,7,12
C20orf202,21,11,14,23,35
C20orf203,149,111,142,310,199
C20orf204,94,161,137,358,180
C20orf27,7255,12388,8765,23216,15964
C20orf85,0,3,8,1,11
C20orf96,372,404,539,678,796
C21orf58,215,259,392,440,356
C21orf62,20,66,106,50,118
C21orf91,671,256,635,672,1201
C21orf91-OT1,3,1,4,5,5
C22orf15,14,83,101,105,104
C22orf23,443,317,559,504,600
C22orf24,37,74,42,84,149
C22orf31,9,11,13,44,23
C22orf34,21,15,34,43,12
C22orf39,1291,1061,1142,2171,2966
C22orf42,2,1,1,1,10
C22orf46,1425,610,1296,987,1294
C2CD2,1761,1484,1344,1744,3098
C2CD2L,3965,6392,5321,11233,10543
C2CD3,1106,1112,1090,1517,2586
C2CD4A,5,5,6,8,22
C2CD4B,38,14,45,21,38
C2CD4C,685,618,2536,436,900
C2CD4D,28,15,95,33,41
C2CD5,988,1004,961,1379,2507
C2CD6,27,25,43,45,51
C2orf15,59,47,102,73,120
C2orf16,20,18,28,34,71
C2orf42,405,467,367,671,1127
C2orf49,527,454,626,929,1507
C2orf50,37,193,113,102,259
C2orf66,13,5,8,7,14
C2orf68,355,249,488,495,663
C2orf69,511,583,861,1115,2064
C2orf69P1,0,0,0,1,1
C2orf69P4,0,0,0,0,0
C2orf72,3390,2569,4026,4627,7049
C2orf73,31,49,67,48,146
C2orf74,0,0,0,0,1
C2orf76,49,39,112,112,144
C2orf78,0,0,1,0,0
C2orf80,448,492,494,829,1193
C2orf83,1,0,0,2,4
C2orf88,294,222,381,305,652
C2orf91,3,0,1,1,1
C2orf92,182,79,162,176,146
C3,1655,2185,2561,2586,6052
C3AR1,71,38,76,73,121
C3orf14,784,757,903,1462,2352
C3orf18,1341,1093,1219,2034,2317
C3orf20,36,14,31,71,55
C3orf22,1,1,1,2,1
C3orf33,66,65,122,145,249
C3orf35,16,20,9,35,15
C3orf38,271,275,325,524,906
C3orf49,55,95,61,80,141
C3orf52,9,22,19,45,36
C3orf56,0,0,0,0,0
C3orf62,282,206,278,457,439
C3orf70,1049,1438,1328,2006,4682
C3orf80,38,26,274,41,86
C3orf84,2,1,0,1,0
C3orf85,0,0,0,0,0
C3orf86,1,1,2,4,2
C3P1,3,3,3,11,3
C4A,145,299,595,391,411
C4B,112,431,198,255,420
C4BPA,10,3,13,21,7
C4BPAP1,4,4,2,3,6
C4BPAP2,3,1,3,6,3
C4BPB,5,0,5,6,5
C4orf17,0,0,0,0,0
C4orf19,30,23,50,35,73
C4orf3,4191,2313,3562,4274,6398
C4orf33,264,171,206,363,593
C4orf36,234,145,224,358,521
C4orf45,2,2,5,4,2
C4orf46,99,50,89,111,185
C4orf47,56,125,176,245,145
C4orf48,211,129,515,221,236
C4orf50,285,804,236,902,2012
C4orf51,0,0,2,1,1
C4orf54,40,92,35,192,183
C5,222,239,293,287,535
C5AR1,76,48,93,60,87
C5AR2,10,8,19,14,15
C5orf15,403,311,568,649,1143
C5orf17,3,0,2,13,14
C5orf22,586,651,772,924,1628
C5orf24,1152,1550,1366,3297,5602
C5orf34,34,50,33,80,84
C5orf38,54,2,42,6,89
C5orf46,0,0,0,0,0
C5orf47,7,14,11,17,24
C5orf49,171,281,656,207,600
C5orf51,855,727,836,1314,2471
C5orf52,2,0,0,0,0
C5orf58,2,1,1,4,5
C5orf60,1,2,5,3,5
C5orf63,83,52,102,139,141
C5orf64,183,56,157,64,249
C5orf64-AS1,24,2,37,6,16
C5orf66,41,29,39,42,92
C5orf66-AS1,0,0,0,0,0
C5orf66-AS2,1,0,0,0,0
C6,1,27,12,0,48
C6orf118,39,112,152,67,132
C6orf120,521,536,653,889,1505
C6orf132,32,53,25,83,96
C6orf136,905,678,1065,1308,1376
C6orf141,501,1307,516,1534,2081
C6orf15,0,0,0,0,0
C6orf163,59,50,66,116,100
C6orf201,10,19,18,32,29
C6orf223,6,15,34,10,25
C6orf226,44,36,88,53,72
C6orf47,378,300,425,477,642
C6orf52,13,16,38,13,28
C6orf58,2,3,5,5,7
C6orf62,2086,1899,2478,3773,6624
C6orf89,4268,4675,4460,6562,12972
C6orf99,10,13,15,27,14
C7,77,39,81,146,106
C7orf25,17,16,19,36,37
C7orf26,810,695,1284,1167,1429
C7orf31,118,127,126,219,222
C7orf33,0,0,0,0,0
C7orf50,2454,2337,3490,3162,3613
C7orf57,22,83,150,77,96
C7orf61,28,17,33,47,23
C7orf65,0,2,1,2,0
C7orf66,0,0,1,1,0
C7orf69,0,0,0,3,2
C8A,0,0,0,0,0
C8B,1,0,0,0,0
C8G,25,25,41,74,47
C8orf31,77,48,96,91,75
C8orf33,1533,1365,1770,2375,3294
C8orf34,183,256,262,363,635
C8orf34-AS1,57,82,71,90,185
C8orf37,109,151,209,252,513
C8orf37-AS1,5,6,10,7,6
C8orf48,20,34,31,85,104
C8orf49,1,0,0,0,0
C8orf58,105,63,127,134,147
C8orf74,0,0,0,0,0
C8orf76,20,19,34,42,44
C8orf82,803,616,1420,695,838
C8orf86,1,2,6,3,6
C8orf88,13,8,19,12,30
C9,0,0,0,1,1
C9orf116,122,173,279,205,289
C9orf129,113,139,148,138,232
C9orf131,60,91,67,156,125
C9orf135,1,19,35,13,34
C9orf135-DT,0,0,0,1,1
C9orf139,86,43,98,137,83
C9orf152,2,3,10,3,5
C9orf153,8,2,4,39,11
C9orf16,1688,1064,2123,1783,1423
C9orf163,28,34,60,66,62
C9orf24,313,446,642,517,617
C9orf40,167,175,169,298,341
C9orf43,15,13,36,11,26
C9orf50,19,25,37,43,29
C9orf57,0,3,2,8,1
C9orf62,1,0,0,1,0
C9orf64,125,154,197,292,421
C9orf72,608,524,570,630,1529
C9orf78,1798,1552,2322,2765,3742
C9orf85,244,195,219,371,524
C9orf92,1,1,2,1,0
CA1,6,0,9,0,5
CA10,479,239,1229,277,744
CA11,13560,13365,15536,24225,19989
CA12,3216,7696,2935,14941,8393
CA13,59,26,68,65,84
CA14,444,159,350,505,496
CA15P1,5,26,34,44,21
CA2,1707,687,1215,3590,3269
CA3,25,11,36,44,35
CA4,336,100,277,478,235
CA5A,7,1,4,1,4
CA5AP1,0,0,2,0,2
CA5B,451,669,625,579,1121
CA5BP1,481,365,739,753,808
CA6,0,1,0,0,0
CA7,258,254,322,661,340
CA8,186,337,370,805,1130
CA9,3,1,10,6,7
CAAP1,250,213,311,443,658
CAB39,2940,2657,2677,4321,7248
CAB39L,913,1002,1503,1452,2533
CAB39P1,0,0,0,0,0
CABCOCO1,92,90,141,67,179
CABIN1,4875,5467,6921,8176,7514
CABLES1,3659,3913,3789,5642,8652
CABLES2,539,366,494,472,630
CABP1,1305,1087,4334,1329,1376
CABP2,0,0,0,0,0
CABP4,10,16,24,14,19
CABP5,1,0,0,3,0
CABP7,206,201,426,389,430
CABS1,1,0,0,0,0
CABYR,99,56,146,117,163
CACFD1,1101,790,1582,2014,1600
CACHD1,1564,3017,1559,3141,6115
CACNA1A,4543,6809,6652,10095,8065
CACNA1B,2775,5236,3730,7315,7533
CACNA1C,886,1161,988,1483,2308
CACNA1C-AS1,16,16,19,48,28
CACNA1C-AS2,10,9,10,38,22
CACNA1C-AS4,5,10,4,14,16
CACNA1C-IT2,2,3,3,4,6
CACNA1D,543,695,525,789,1517
CACNA1E,5096,13181,4494,13854,28909
CACNA1F,35,51,97,100,79
CACNA1G,955,423,1014,460,569
CACNA1G-AS1,11,7,10,17,13
CACNA1H,5819,12421,7003,16492,11696
CACNA1I,1959,4386,2989,5861,4710
CACNA1S,125,236,108,215,340
CACNA2D1,1700,2661,1737,3374,7700
CACNA2D1-AS1,13,7,5,31,20
CACNA2D2,2459,2146,1226,2472,4672
CACNA2D3,1347,1701,940,2932,4604
CACNA2D3-AS1,2,10,0,18,6
CACNA2D4,52,31,33,77,54
CACNB1,4063,6157,5866,8235,7652
CACNB2,887,1565,918,2519,3136
CACNB3,2481,2535,4002,5951,4930
CACNB4,1875,4565,2826,9016,13021
CACNG1,40,67,41,64,82
CACNG2,524,414,625,801,889
CACNG3,2252,2893,3017,5110,6761
CACNG4,2800,3907,2762,5006,7597
CACNG5,49,66,56,45,220
CACNG6,5,11,51,8,38
CACNG7,5142,3015,6468,4172,4944
CACNG8,6236,7020,6808,10694,15538
CACTIN,727,683,1214,1050,988
CACTIN-AS1,13,27,50,20,10
CACUL1,1441,1992,1332,2719,5508
CACYBP,1775,1633,2228,3249,5015
CACYBPP3,4,11,0,6,8
CAD,1312,1450,1560,2973,2440
CADM1,2466,3248,3375,6134,16235
CADM2,4362,4412,5172,10255,18782
CADM2-AS2,3,2,1,2,3
CADM3,6056,9402,7014,8104,13661
CADM4,7261,4658,11092,8620,10135
CADPS,4226,2291,2680,3540,6922
CADPS2,202,153,455,330,710
CAGE1,0,1,0,1,1
CAHM,80,38,167,123,102
CALB1,3613,9190,3452,17420,20981
CALB2,1242,405,741,690,1398
CALCA,0,0,0,0,1
CALCB,9,23,3,5,23
CALCOCO1,4935,5994,5002,10822,11518
CALCOCO2,1636,898,2012,1976,2792
CALCP,0,0,0,0,0
CALCR,56,18,2,4,630
CALCRL,209,100,218,296,451
CALD1,3457,2055,3601,4541,4911
CALHM1,71,6,84,15,24
CALHM2,305,177,399,393,432
CALHM3,8,7,7,11,14
CALHM4,1,0,0,1,0
CALHM5,78,58,82,112,101
CALHM6,18,22,31,25,57
CALM1,68705,93135,64259,129287,202656
CALM1P1,0,0,0,1,1
CALM2,14063,11392,17193,31428,32044
CALM2P4,0,1,0,5,0
CALM3,57304,66083,53139,79056,103723
CALML3,4,3,2,6,3
CALML4,157,162,267,370,360
CALML5,0,0,0,0,0
CALML6,18,40,49,108,34
CALN1,4986,10296,3861,12819,19959
CALR,4226,3691,4863,6698,11156
CALR3,0,0,0,0,1
CALU,1267,1385,1166,2240,4209
CALY,5196,5082,8244,6547,9700
CAMK1,223,273,268,421,505
CAMK1D,7329,11994,8524,24123,21360
CAMK1G,2717,3140,3004,5448,6833
CAMK2A,17182,25775,31687,27615,46713
CAMK2B,26577,29815,26568,56202,49384
CAMK2D,1487,746,1900,988,3966
CAMK2G,5425,3078,7091,5610,7609
CAMK2N1,14596,7044,18427,18046,17195
CAMK2N2,670,178,1037,155,345
CAMK4,4814,10004,3361,12530,23605
CAMKK1,4222,6215,5339,11287,7395
CAMKK2,4871,6900,5540,12855,9256
CAMKMT,297,256,285,383,645
CAMKV,16091,28660,14062,39234,59496
CAMLG,894,635,1006,1585,1868
CAMP,0,0,0,0,0
CAMSAP1,2479,3413,2490,4518,7204
CAMSAP2,3174,4035,2914,6016,11067
CAMSAP3,1399,1961,2855,2255,2126
CAMTA1,5075,5598,4782,12756,12866
CAMTA1-AS2,3,2,1,3,3
CAMTA2,4820,6246,7029,9060,8506
CAND1,2804,3406,2681,4947,11499
CAND2,1116,1194,1549,1811,2023
CANT1,944,808,875,1296,1805
CANX,10234,9897,8866,14842,27387
CAP1,3768,3794,3668,8169,9113
CAP1P1,11,16,8,33,19
CAP1P2,1,5,2,10,7
CAP2,3319,3832,3808,7895,11069
CAPG,657,367,575,494,482
CAPN1,4622,4417,5720,6399,6789
CAPN10,1631,2032,3302,2830,1885
CAPN10-DT,167,154,202,437,338
CAPN11,7,4,6,15,5
CAPN12,26,38,45,49,33
CAPN13,46,20,44,53,69
CAPN14,12,8,13,8,13
CAPN15,1996,2617,3834,3590,2360
CAPN2,1735,1945,2884,3508,5154
CAPN3,364,130,235,562,287
CAPN5,362,716,1444,1105,1339
CAPN6,0,0,1,0,0
CAPN7,499,481,571,829,1371
CAPN8,1,18,31,13,30
CAPN9,123,52,106,61,113
CAPNS1,12863,9884,16871,15334,21380
CAPNS1P1,0,2,0,1,3
CAPNS2,0,0,0,6,1
CAPRIN1,4083,4657,3761,7120,14103
CAPRIN2,1778,1650,1329,2875,3859
CAPS,347,1081,3028,776,998
CAPS2,153,119,249,296,358
CAPSL,1,63,112,22,73
CAPZA1,964,627,947,1442,2164
CAPZA1P3,1,0,0,1,0
CAPZA2,1116,1241,1280,2518,4619
CAPZA3,0,0,0,0,0
CAPZB,4307,3295,5529,5314,8143
CARD10,368,153,237,535,329
CARD11,110,93,204,98,105
CARD14,77,54,63,168,189
CARD16,6,2,6,12,8
CARD17,0,0,0,1,1
CARD18,0,1,0,0,2
CARD19,562,371,1140,941,742
CARD6,73,36,41,86,173
CARD8,347,312,506,570,752
CARD8-AS1,10,10,7,23,30
CARD9,187,590,306,868,347
CARF,405,406,466,683,1244
CARHSP1,1213,1758,1887,1509,3637
CARM1,2304,2961,3056,4549,4656
CARMIL1,641,810,873,1304,2687
CARMIL2,2462,2514,3244,4507,3200
CARMIL3,586,532,690,972,1152
CARNMT1,302,519,342,1153,1126
CARNS1,13931,4198,19084,13698,11404
CARS1,1165,923,1472,1715,2250
CARS1-AS1,3,5,1,10,6
CARS1P2,0,0,0,0,0
CARS2,923,665,1019,1153,1452
CARTPT,143,54,73,25,772
CASC11,0,0,1,0,1
CASC16,0,0,0,1,1
CASC17,0,1,4,5,7
CASC18,7,3,2,0,2
CASC2,193,293,292,404,825
CASC20,0,0,0,0,1
CASC22,0,0,0,0,0
CASC23,1,1,0,0,0
CASC3,7647,3795,8347,6055,9309
CASC8,1,0,0,1,0
CASC9,0,0,0,0,0
CASD1,1635,1722,1784,2722,6908
CASK,1037,1078,1127,1801,3432
CASKIN1,20183,37897,36491,32304,18733
CASKIN2,3762,3552,7240,6464,5340
CASKP1,0,0,0,0,0
CASP1,33,37,34,63,80
CASP10,137,84,93,195,200
CASP12,4,3,5,9,7
CASP14,0,1,0,0,0
CASP16P,14,24,36,31,29
CASP2,443,429,423,628,1109
CASP3,247,231,283,470,761
CASP3P1,0,0,0,0,0
CASP4,58,33,50,69,71
CASP4LP,6,7,4,28,14
CASP5,1,0,0,1,2
CASP6,50,38,59,79,81
CASP7,117,108,119,273,341
CASP8,71,98,89,130,291
CASP8AP2,1009,785,961,3036,3223
CASP9,618,614,785,1155,1047
CASQ1,109,110,252,119,278
CASQ2,231,109,117,162,212
CASR,27,0,1,0,31
CASS4,93,47,46,121,124
CAST,1590,1397,1686,3229,3953
CASTOR1,26,27,47,35,22
CASTOR3,620,351,602,661,724
CASZ1,71,120,58,111,249
CAT,583,466,818,963,1533
CATIP,9,62,116,63,53
CATIP-AS1,0,1,0,1,0
CATSPER1,5,7,9,24,8
CATSPER2,345,379,442,790,570
CATSPER2P1,80,102,137,136,131
CATSPER3,13,7,8,20,11
CATSPER4,0,0,1,3,0
CATSPERB,0,1,2,1,0
CATSPERD,0,18,29,8,8
CATSPERE,50,38,51,76,72
CATSPERG,180,122,320,338,194
CATSPERZ,0,4,3,11,7
CAV1,660,172,588,760,1160
CAV2,548,164,702,760,894
CAV3,7,4,7,15,8
CAVIN1,3147,1174,3414,2547,2836
CAVIN2,559,183,647,1127,645
CAVIN3,118,85,112,136,157
CAVIN4,84,52,51,113,117
CBARP,3969,6245,6207,6770,5483
CBFA2T2,1864,1641,1804,3011,3714
CBFA2T3,693,1125,1076,1377,1498
CBFB,390,190,655,514,769
CBL,1412,1760,1381,2523,5466
CBLB,309,254,281,411,717
CBLC,0,1,3,0,1
CBLIF,1,1,2,0,3
CBLL1,641,717,705,1095,1879
CBLL2,1,0,4,5,4
CBLN1,232,93,206,151,167
CBLN2,65,21,866,50,70
CBLN3,71,68,178,108,156
CBLN4,272,479,193,286,2157
CBR1,1507,775,1985,2511,2487
CBR3,55,60,77,113,117
CBR3-AS1,50,42,65,111,90
CBR4,471,533,572,952,1457
CBS,1661,1387,4415,2678,3155
CBWD1,118,106,98,301,354
CBWD2,175,207,140,309,546
CBWD3,12,18,12,20,19
CBWD5,43,58,58,118,98
CBWD6,7,0,3,1,7
CBX1,1601,1527,2317,3373,4432
CBX2,96,114,61,141,149
CBX3,1076,855,1446,1753,2523
CBX3P2,12,23,15,13,53
CBX3P8,0,0,0,0,1
CBX4,1717,1395,2073,2002,2324
CBX5,7508,9770,6322,8376,21172
CBX6,12042,19445,18820,24580,26010
CBX7,9842,12386,10322,15467,19483
CBX8,109,93,131,122,205
CBY1,248,177,369,383,470
CBY1P1,0,0,0,0,0
CBY2,0,0,0,0,0
CBY3,15,16,20,26,31
CC2D1A,2398,1834,3864,4145,3330
CC2D1B,1179,816,1839,1834,1674
CC2D2A,418,364,497,624,1074
CC2D2B,11,4,11,26,11
CCAR1,1752,1115,1831,2627,2658
CCAR2,2210,2155,3194,3864,4361
CCBE1,19,10,188,118,84
CCDC102A,118,102,196,119,158
CCDC102B,107,109,170,236,422
CCDC103,0,0,2,0,0
CCDC105,1,8,2,7,4
CCDC106,3152,3551,5950,4928,4350
CCDC107,30,14,44,40,32
CCDC110,111,135,126,378,452
CCDC112,367,327,549,757,871
CCDC113,463,772,888,723,1665
CCDC114,46,751,644,138,350
CCDC115,864,816,1206,1557,1753
CCDC116,43,33,42,33,28
CCDC117,379,450,387,654,1468
CCDC11P1,0,0,0,0,0
CCDC12,289,211,473,531,566
CCDC120,397,455,807,588,687
CCDC121,109,65,105,168,255
CCDC122,68,58,69,106,131
CCDC124,1021,769,1969,1592,1378
CCDC125,219,141,213,225,276
CCDC126,167,136,152,448,512
CCDC127,718,704,803,1163,2061
CCDC13,121,132,170,201,258
CCDC13-AS1,63,25,78,88,131
CCDC130,703,545,1261,986,865
CCDC134,46,25,47,57,70
CCDC136,1751,1093,1636,1766,2111
CCDC137,502,509,592,808,887
CCDC137P,2,1,2,1,0
CCDC138,172,155,214,257,274
CCDC14,431,381,512,787,1019
CCDC140,0,0,0,0,0
CCDC141,27,46,29,49,96
CCDC142,301,266,352,697,495
CCDC144A,84,47,122,599,182
CCDC144B,147,157,204,609,416
CCDC144NL,30,28,21,91,40
CCDC146,351,379,551,498,848
CCDC148,184,192,210,463,484
CCDC148-AS1,2,4,1,3,6
CCDC149,1075,1181,1053,1226,2760
CCDC15,28,25,65,57,61
CCDC150,41,11,50,39,32
CCDC151,118,244,313,363,378
CCDC152,104,53,131,211,315
CCDC153,16,44,121,41,72
CCDC154,172,228,254,427,191
CCDC157,256,256,410,514,469
CCDC158,61,7,36,46,66
CCDC159,567,303,727,846,605
CCDC160,35,19,51,38,71
CCDC162P,19,49,64,36,20
CCDC166,2,2,5,5,5
CCDC167,82,51,135,106,119
CCDC168,1,0,0,2,3
CCDC169,15,8,15,27,48
CCDC169-SOHLH2,0,0,0,0,0
CCDC17,101,70,139,91,60
CCDC170,92,240,388,201,446
CCDC171,201,211,174,608,717
CCDC172,0,0,0,1,4
CCDC173,259,297,509,519,730
CCDC174,527,372,537,1058,1085
CCDC175,21,13,34,31,50
CCDC177,109,166,169,86,198
CCDC178,20,10,15,117,16
CCDC179,1,0,1,3,8
CCDC18,137,117,146,287,276
CCDC180,131,169,178,162,142
CCDC181,278,290,338,574,807
CCDC182,0,1,0,0,0
CCDC183,132,95,131,177,222
CCDC183-AS1,108,157,126,291,209
CCDC184,1369,784,1190,1046,1885
CCDC185,12,13,11,22,19
CCDC186,616,607,793,2007,2652
CCDC188,154,383,337,561,302
CCDC189,22,24,55,34,33
CCDC190,8,55,106,59,69
CCDC191,383,346,521,684,766
CCDC192,14,17,13,22,37
CCDC194,4,1,7,1,2
CCDC196,8,11,6,14,33
CCDC197,0,0,1,0,0
CCDC198,1,4,3,2,2
CCDC200,82,91,310,116,197
CCDC22,503,521,907,1126,1030
CCDC24,450,335,775,680,722
CCDC25,1694,1318,1715,2219,3944
CCDC26,0,0,0,1,0
CCDC27,15,9,16,19,18
CCDC28A,391,480,616,669,1111
CCDC28B,152,137,291,305,289
CCDC3,691,730,1367,1321,1060
CCDC30,467,646,542,1240,1525
CCDC32,415,400,518,723,1144
CCDC33,1,132,266,35,104
CCDC34,259,315,366,519,585
CCDC34P1,0,0,0,0,0
CCDC37-DT,1,2,2,2,3
CCDC38,7,12,11,6,28
CCDC40,319,623,1032,771,895
CCDC42,0,0,3,0,0
CCDC43,376,371,382,735,913
CCDC47,1909,2249,2171,5453,6940
CCDC50,869,712,1141,1108,2329
CCDC51,173,185,320,415,387
CCDC54,4,4,4,22,5
CCDC57,1016,1191,1485,2229,1435
CCDC58,61,60,72,115,112
CCDC59,161,126,247,360,509
CCDC6,2776,4643,2356,4876,12239
CCDC60,12,89,125,30,71
CCDC61,220,208,502,406,340
CCDC62,35,52,80,73,90
CCDC63,0,0,0,1,0
CCDC65,942,1508,962,1838,1715
CCDC66,398,318,482,815,816
CCDC68,78,35,75,86,83
CCDC69,837,427,438,456,764
CCDC7,66,34,60,268,301
CCDC70,0,1,0,2,0
CCDC71,263,271,320,419,508
CCDC71L,55,92,149,125,374
CCDC73,14,5,6,8,23
CCDC74A,346,404,606,568,687
CCDC74B,92,212,370,225,358
CCDC77,133,165,192,302,463
CCDC78,400,1377,1896,3619,1125
CCDC8,247,291,526,332,614
CCDC80,318,243,397,543,751
CCDC81,15,72,112,42,90
CCDC82,1082,678,1040,1476,2279
CCDC83,1,2,0,1,3
CCDC85A,210,178,259,190,256
CCDC85B,3637,2389,6674,2796,2213
CCDC85C,1725,2672,3300,3710,3178
CCDC86,545,536,635,586,898
CCDC87,43,27,33,39,52
CCDC88A,10207,6020,12383,14019,16736
CCDC88B,627,741,1429,1244,829
CCDC88C,2687,6632,4022,11676,10700
CCDC89,16,15,24,36,47
CCDC9,717,578,1434,1210,951
CCDC90B,646,522,691,1025,1635
CCDC91,1565,1335,1518,3622,3546
CCDC92,4847,3544,6085,5285,7011
CCDC93,838,678,926,1585,2389
CCDC96,198,319,293,338,322
CCDC97,1009,882,1308,1761,2154
CCDC9B,609,399,648,994,640
CCER1,0,0,0,0,0
CCER2,56,49,104,144,77
CCHCR1,568,766,1050,1117,772
CCIN,9,11,12,10,31
CCK,319,179,1125,87,521
CCKAR,11,11,13,13,23
CCKBR,349,557,1176,558,949
CCL1,0,0,3,0,0
CCL11,0,0,0,0,0
CCL13,0,0,0,0,0
CCL17,2,2,2,4,3
CCL19,17,20,52,25,35
CCL2,8,7,58,48,48
CCL20,0,0,0,1,1
CCL21,3,1,2,4,5
CCL22,0,1,4,2,4
CCL24,0,0,0,0,0
CCL25,3,0,2,4,7
CCL26,0,0,5,0,0
CCL27,0,0,0,0,0
CCL28,14,13,66,30,44
CCL7,0,0,0,0,0
CCL8,0,1,2,3,2
CCM2,5232,6400,4571,9905,8961
CCM2L,187,71,206,171,144
CCN1,363,456,1139,830,732
CCN2,412,279,1055,448,480
CCN3,273,414,647,475,721
CCN4,9,6,21,9,5
CCN5,58,35,133,93,129
CCN6,7,9,8,19,17
CCNA1,394,547,463,797,1126
CCNA2,14,19,27,49,35
